Grad,Uže područje,Šire područje
Beograd,1233796,1659440
Novi Sad,277522,341625
Niš,183164,260237
Loznica,19212,79327
Priština,145149,198897
Subotica,105681,141554
Zrenjanin,76511,123362
Pančevo,76203,123414
Šabac,53919,115884
Kruševac,58745,128752
Kraljevo,68749,125488
Prokuplje,27333,44419
Smederevo,64175,108209
Leskovac,60288,144206
Užice,52646,78004
Valjevo,59073,90312
Sombor,47623,85903
Čačak,73331,115337
Vranje,55138,83524
Požarevac,44183,75334
Pirot,38785,57928
Zaječar,38165,59461
Kikinda,38065,59453
Sremska Mitrovica,37751,79094
Jagodina,37282,71852
Vršac,36004,52026
Bor,34016,48615
Kragujevac,150835,179417
Novi Pazar,66527,100041
