Grad,Površina,Uže područje,Šire područje
Beograd,360,1233796,1659440
Bor,856,34016,48615
Čačak,636,73331,115337
Jagodina,470,37282,71852
Kikinda,782.5,38065,59453
Kragujevac,865,150835,179417
Kraljevo,1530,68749,125488
Kruševac,854,58745,128752
Leskovac,1025,60288,144206
Loznica,612,19212,79327
Niš,596.7,183164,260237
Novi Pazar,742,66527,100041
Novi Sad,702.7,277522,341625
Pančevo,759,76203,123414
Pirot,1232,38785,57928
Požarevac,482,44183,75334
Prokuplje,759,27333,44419
Šabac,795,53919,115884
Smederevo,484,64175,108209
Sombor,1178,47623,85903
Sremska Mitrovica,48.4,37751,79094
Subotica,1008,105681,141554
Užice,667,52646,78004
Valjevo,905,59073,90312
Vranje,860,55138,83524
Vršac,1324,36004,52026
Zaječar,1069,38165,59461
Zrenjanin,190.9,76511,123362
