R. Br.,Okrug,Sedište,Uže područje,Šire područje
1,Mačvanski,     Šabac,3268,339644
2,Kolubarski,    Valjevo,2474,200560
3,Podunavski,    Smederevo,1248,226589
4,Braničevski,   Požarevac,3865,253492
5,Šumadijski,    Kragujevac,2387,312160
6,Pomoravski,    Jagodina,2614,312160
7,Borski,        Bor,3507,178718
8,Zaječarski,    Zaječar,3623,158131
9,Zlatiborski,   Užice,6140,335826
10,Moravički,     Čačak,3013,230748
11,Raški,         Kraljevi,3918,300234
12,Rasinski,      Kruševac,2667,296690
13,Nišavski,      Niš,2729,700000
14,Toplički,      Prokuplje,2231,111813
15,Pirotski,      Pirot,2761,116926
16,Jablanički,    Leskovac,2769,255011
17,Pčinjski,      Vranje,3520,234529
18,Beogradski,    Beograd,3224,1732000
