Planina,Vrh,Visina
Šar-planina,Crni vrh,2585
Šar-planina,Maja,2493
Koprivnik,Veternik,2461
Prokletije,Žuti kamen,2522
Šar-planina,Vrtop,2555
Hajla,Hajla,2403
Koritnik,Koritnik,2393
Prokletije,Đeravica,2656
Prokletije,Bogdaš,2533
Šar-planina,Ljuboten,2498
Prokletije,Gusan,2539
Prokletije,Marijaš,2510
Stara planina,Midžor,2168
Mokra Gora,Pogled,2154
Suva planina,Bandera,2098
Ostrvica (Jezerska planina),Ostrvica,2092
Stara planina,Dupljak,2032
Šar-planina,Murga,2025
Kopaonik,Pančićev vrh,2017
Zlatibor,Kobilja glava,1176
Zlatibor,Gradina,1149
Zlatibor,Jelova gora,1147
Zlatibor,Gruda,1140
Maljen,Crni vrh,1098
Zlatibor,Konjoder,1337
Tara,Kozji rid,1591
Zlatibor,Ljuljaš,1269
Jelica,Verinje,874
Suvobor,Suvobor,866
Maljen,Kraljev sto ,1104
Besna kobila,Besna kobila,1922
Zlatibor,Čigta,1422
Tara,Pivnice,1575
Maljen,Stražara,1061
Zlatibor,Čuker,1359
Kopaonik,Velika Gobelja,1934
Tara,Mrka kosa,1545
Zlatibor,Crni vrh,1177
Kopaonik,Mali Karaman,1904
Dukat,Blizen,1681
Besna kobila,Šuplji pad,1862
Kopaonik,Mala Gobelja,1854
Tara,Lisnata glavica,1510
Besna kobila,Musul,1777
Dukat,Oštra čuka,1700
Besna kobila,Mečit,1857
Rudnik,Cvijićev vrh,1132
Rtanj,Šiljak,1565
Ovčar,Ovčar,985
Kablar,Kablar,885
Šar-planina,Bistra,2651
Jelica,Crna stena,929
Šar-planina,Peskovi,2609
Vujan,Veliki vujan,856
Fruška Gora,Stražilovo ,321
Jastrebac,Zmajevac,1313
Kopaonik,Bećirovac,1782
Zlatibor,Brijač,1440
Fruška Gora,Veliki Gradac,471
Paklen (Pećki),Volujak,2014
Šar-planina,Ovčinec,2177
Maljen,Paljba,1051
Prokletije,Tromeđa,2366
Maljen,Vlasovi,1033
Maljen,Zabalac,1011
Šar-planina,Kačina glava,2207
Kopaonik,Veliki Karaman,1936
Maljen,Veliko brdo,1036
Žljeb,Rusulija,2381
Streočka planina,Streoc,2377
Maljen,Golubac,1056
Žljeb,Žljeb,2365
Ošljak,Ošljak,2212
Stara planina,Martinova Čuka,2011
Zlatibor,Tornik,1496
Jastrebac,Velika Đulica,1491
Golija,Jankov kamen,1833
Kopaonik,Nebeska stolica,1793
Golija,Crni vrh,1795
Jastrebac,Pogled,1481
Kopaonik,Kukavica,1726
Fruška Gora,Crveni čot,539
Jastrebac,Bela stena,1257
Kopaonik,Suvo rudište ,1976
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Kopaonik,Markove stene,1721
Kopaonik,Vučak,1714
,,
,,
,,
,,
Fruška Gora,Iriški Venac,451
