Planina,Vrh,Visina
Prokletije,Đeravica,2.656
Šar-planina,Peskovi,2.609
Šar-planina,Bistra,2.651
Šar-planina,Crni vrh,2.585
Šar-planina,Vrtop,2.555
Prokletije,Gusan,2.539
Prokletije,Bogdaš,2.533
Prokletije,Žuti kamen,2.522
Prokletije,Marijaš,2.51
Šar-planina,Ljuboten,2.498
Šar-planina,Maja,2.493
Koprivnik,Veternik,2.461
Hajla,Hajla,2.403
Koritnik,Koritnik,2.393
Žljeb,Rusulija,2.381
Streočka planina,Streoc,2.377
Prokletije,Tromeđa,2.366
Žljeb,Žljeb,2.365
Ošljak,Ošljak,2.212
Šar-planina,Kačina glava,2.207
Šar-planina,Ovčinec,2.177
Stara planina,Midžor,2.168
Mokra Gora,Pogled,2.154
Suva planina,Bandera,2.098
Ostrvica (Jezerska planina),Ostrvica,2.092
Stara planina,Dupljak,2.032
Šar-planina,Murga,2.025
Kopaonik,Pančićev vrh,2.017
Paklen (Pećki),Volujak,2.014
Stara planina,Martinova Čuka,2.011
